,JobID,Job_Designation,Involvement,Experince_level,Hr_name,Skills,CompanyName,Company_estab_year,AgeOfCompany,Industry,Location,employees_count,Job_url
38,258456,Agency Manager,Sales and Business ,Junior Level,Snehil Tiwari,"Business Development, Direct Sales, Sales",Aditya Birla Capital,2007,16,Banking / Financial / Insurance,"Delhi, Greater Noida, Noida",1000,https://www.instahyre.com/job-258456-agency-manager-at-aditya-birla-capital-delhi-greater-noida-noida/
39,254367,collection manager,Sales and Business ,Senior,Suganthi Pichandi,"Customer Interaction, Customer Relationship, Customer Service",GRB Dairy Foods,1984,39,Banking / Financial / Insurance,Chennai,750,https://www.instahyre.com/job-254367-collection-manager-at-grb-dairy-foods-chennai/
40,257545,Collection Officer - Telecalling,Sales and Business ,Junior Level,Priyadharshini Gunasekaran,Telecalling,Gromor Finance,2016,7,Banking / Financial / Insurance,Bangalore,125,https://www.instahyre.com/job-257545-collection-officer-telecalling-at-gromor-finance-bangalore/
41,263798,Big Data Scientist,Data Science and Analysis ,Junior Level,Poonam Thute,"Java, Python, SQA, Spark, Scala",HCL Technologies,1976,47,Banking / Financial / Insurance,Bangalore,1000,https://www.instahyre.com/job-263798-big-data-scientist-at-hcl-technologies-bangalore/
42,254211,DSA Relationship Manager,Sales and Business ,Intermediate Level,Divyangi Nandkeolyar,Sales,mewt,2020,3,Banking / Financial / Insurance,"Bangalore, Delhi, Mumbai",30,https://www.instahyre.com/job-254211-dsa-relationship-manager-at-mewt-bangalore-delhi-mumbai/
43,260488,Sr. Product Manager,Technical Management ,Mid Senior Level,Abha,"Product Management, UX Design, Wireframing",Open Financial Technologies,2017,6,Banking / Financial / Insurance,Bangalore,350,https://www.instahyre.com/job-260488-sr-product-manager-at-open-financial-technologies-bangalore/
44,257387,Internal Controls Analyst,Operations ,Mid Senior Level,Sai Kiran Reddy,"Operations Management, Process Improvement",Paypal,1998,25,Banking / Financial / Insurance,"Bangalore, Chennai, Work From Home",1000,https://www.instahyre.com/job-257387-internal-controls-analyst-at-paypal-bangalore-chennai-work-from-home/
45,261719,Call Centre Operations Manager,Sales and Business ,Junior Level,Amritpal Singh,"BPO Operations, Call Center Operations, Customer Interaction, Customer Service",Sungevity Enterprise,2023,0,Banking / Financial / Insurance,Pune,30,https://www.instahyre.com/job-261719-call-centre-operations-manager-at-sungevity-enterprise-pune/
46,255013,Associate Director Growth,Technical Management ,Senior,Asha Mathpal,"Product Lifecycle Management, Product Management, UX Design",WeRize,2019,4,Banking / Financial / Insurance,Bangalore,125,https://www.instahyre.com/job-255013-associate-director-growth-at-werize-bangalore/
47,254355,Senior Data Scientist,Data Science and Analysis ,Mid Senior Level,Rinsy Backer,"Credit Risk Management, Python, SQL",ZET,2019,4,Banking / Financial / Insurance,Bangalore,125,https://www.instahyre.com/job-254355-senior-data-scientist-at-zet-bangalore/
48,253553,Escalation Specialist,Sales and Business ,Junior Level,Vaishak Lakshmanan,"Customer Interaction, Customer Relationship, Customer Service, Key Account Management",Acko,2017,6,Banking / Financial / Insurance,Bangalore,750,https://www.instahyre.com/job-253553-escalation-specialist-at-acko-bangalore/
49,253559,Policy Advisor,Sales and Business ,Junior Level,Vaishak Lakshmanan,Sales,Acko,2017,6,Banking / Financial / Insurance,Bangalore,750,https://www.instahyre.com/job-253559-policy-advisor-at-acko-bangalore/
50,252103,Content Marketer,Marketing ,Intermediate Level,Supriya Samson,Content Writing,EduFund,2019,4,Banking / Financial / Insurance,"Bangalore, Mumbai, Pune",30,https://www.instahyre.com/job-252103-content-marketer-at-edufund-bangalore-mumbai-pune/
51,247125,Inside Sales,Sales and Business ,Junior Level,Archana Raha,"Direct Sales, Sales, Telecalling",Edureify,2018,5,Banking / Financial / Insurance,Kolkata,30,https://www.instahyre.com/job-247125-inside-sales-at-edureify-kolkata/
52,245660,Financial Sales Consultants,Sales and Business ,Junior Level,Priyanshu Sharma,"International Sales, Sales",Maltar Services,2016,7,Banking / Financial / Insurance,"Indore, Kolkata",125,https://www.instahyre.com/job-245660-financial-sales-consultants-at-maltar-services-indore-kolkata/
53,254062,Accounts Manager,Operations ,Intermediate Level,Rebka Pilli,"Accounting, Finance, Taxation, GST, Income Tax, MIS, Payroll Management, Tally, TDS",New Street Technologies,2017,6,Banking / Financial / Insurance,Bangalore,30,https://www.instahyre.com/job-254062-accounts-manager-at-new-street-technologies-bangalore/
54,250045,Manager / Sr. Manager - Business Development,Sales and Business ,Intermediate Level,Pooja Bhavin Sheth,"Business Development, Sales",OneStack,2019,4,Banking / Financial / Insurance,Gurgaon,5,https://www.instahyre.com/job-250045-manager-sr-manager-business-development-at-onestack-gurgaon/
55,249614,Software Development Engineer III / IV,Software Engineering ,Senior,Sairam Kunala,"Big Data, Django, Express.js, Flask, Golang, Java, MySQL, Node.js, PostgreSQL, Python, Ruby, Ruby on Rails",OpenEnvoy,2020,3,Banking / Financial / Insurance,"Bangalore, Hyderabad, Work From Home",5,https://www.instahyre.com/job-249614-software-development-engineer-iii-iv-at-openenvoy-bangalore-hyderabad-work-from-home/
56,248950,Lead Software Engineer (Web),Software Engineering ,Senior,Ashwin Narayan,"GraphQL, Node.js, React.js",Paypal,1998,25,Banking / Financial / Insurance,Bangalore,1000,https://www.instahyre.com/job-248950-lead-software-engineer-web-at-paypal-bangalore/
57,252448,National Head - DSA Channel,Sales and Business ,Mid Senior Level,Priya Desai,"Direct Sales, Business Development, Channel Sales, Escalation Management, Loans",Rupeek,2015,8,Banking / Financial / Insurance,Bangalore,1000,https://www.instahyre.com/job-252448-national-head-dsa-channel-at-rupeek-2-bangalore/
58,239954,QA Engineer,Software Engineering ,Intermediate Level,Suman Kumari,Automation Testing,AsthaTrade,2002,21,Banking / Financial / Insurance,Bangalore,350,https://www.instahyre.com/job-239954-qa-engineer-at-asthatrade-bangalore/
59,245483,Territory Sales Manager,Sales and Business ,Mid Senior Level,Himanshu Gunani,"Business Development, Direct Sales, Sales",Choice,2010,13,Banking / Financial / Insurance,Delhi,750,https://www.instahyre.com/job-245483-territory-sales-manager-at-choice-delhi/
60,241155,Qualified CA,Operations ,Mid Senior Level,Pallavi Yadav,"Accounting, Auditing, Finance, Taxation, Chartered Accountant, Financial Planning, Financial Reporting, GST, Income Tax, MIS, TDS",Ebullient Securities,2015,8,Banking / Financial / Insurance,Gurgaon,125,https://www.instahyre.com/job-241155-qualified-ca-at-ebullient-securities-gurgaon/
61,241120,Relationship Manager,Sales and Business ,Junior Level,Alisha Saha,"Customer Relationship, Direct Sales, Sales",Housing,2012,11,Banking / Financial / Insurance,Kolkata,1000,https://www.instahyre.com/job-241120-relationship-manager-at-housing-3-kolkata/
62,239884,Telecalling - Sales Executive,Sales and Business ,Junior Level,Divya Karmakar,"Sales, Telecalling",Lendingkart,2014,9,Banking / Financial / Insurance,Ahmedabad,350,https://www.instahyre.com/job-239884-telecalling-sales-executive-at-lendingkart-ahmedabad/
63,242736,Corporate - Relationship Manager,Sales and Business ,Mid Senior Level,Kamlesh Tiwari,"Business Development, Corporate Sales, Direct Sales, Sales",M1xchange,2016,7,Banking / Financial / Insurance,"Bangalore, Chennai",750,https://www.instahyre.com/job-242736-corporate-relationship-manager-at-m1xchange-bangalore-chennai/
64,243204,Regional Manager,Sales and Business ,Executive,Siddhartha S,"Business Development, Sales",N J Group,2020,3,Banking / Financial / Insurance,Lucknow,5,https://www.instahyre.com/job-243204-regional-manager-at-n-j-group-lucknow/
65,243115,Enterprise Sales Officer,Sales and Business ,Junior Level,Deepak Beligi,"Business Development, Corporate Sales, Direct Sales, Sales",Reliance Jio Infocomm,2007,16,Banking / Financial / Insurance,Hyderabad,1000,https://www.instahyre.com/job-243115-enterprise-sales-officer-at-reliance-jio-infocomm-2-hyderabad/
66,242640,Enterprises Sales Officer,Sales and Business ,Junior Level,S Rupesh Kumar,"Business Development, Direct Sales, Sales",Reliance Jio Infocomm,2007,16,Banking / Financial / Insurance,Hyderabad,1000,https://www.instahyre.com/job-242640-enterprises-sales-officer-at-reliance-jio-infocomm-2-hyderabad/
67,241481,Business Development Executive,Sales and Business ,Junior Level,Sidda Bhavana,"Business Development, Direct Sales, Sales, Telecalling",ZONO,2019,4,Banking / Financial / Insurance,Hyderabad,30,https://www.instahyre.com/job-241481-business-development-executive-at-zono-hyderabad/
68,231007,Wealth Management Executive,Sales and Business ,Junior Level,Prefect Ed,"Business Development, Corporate Sales, Direct Sales, Sales, Telecalling",ACME Group,2012,11,Banking / Financial / Insurance,Noida,125,https://www.instahyre.com/job-231007-wealth-management-executive-at-acme-group-noida/
69,238771,Product Owner,Technical Management ,Mid Senior Level,Siddhartha S,"HR Analytics, Product Management, Agile, Change Management, Compliance Management",AGCO Corporation,1990,33,Banking / Financial / Insurance,Bangalore,1000,https://www.instahyre.com/job-238771-product-owner-at-agco-corporation-bangalore/
70,233727,Sales Manager,Sales and Business ,Intermediate Level,Supriya Samson,"Business Development, Mutual Funds, Sales",EduFund,2019,4,Banking / Financial / Insurance,"Mumbai, Navi Mumbai, Pune",30,https://www.instahyre.com/job-233727-sales-manager-at-edufund-mumbai-navi-mumbai-pune/
71,237132,Fix Engineer 2,Software Engineering ,Senior,Brian Chetram,Python,FalconX,2018,5,Banking / Financial / Insurance,Bangalore,125,https://www.instahyre.com/job-237132-fix-engineer-2-at-falconx-bangalore/
72,235458,Sales Manager,Sales and Business ,Junior Level,Durga Priya,"Customer Relationship, Marketing, Sales",Homes247.in,2017,6,Banking / Financial / Insurance,Bangalore,30,https://www.instahyre.com/job-235458-sales-manager-at-homes247-bangalore/
73,238420,Customer Success Manager,Sales and Business ,Mid Senior Level,Venkatesh G,"Customer Interaction, Customer Relationship, Customer Service",Lendingkart,2014,9,Banking / Financial / Insurance,Bangalore,350,https://www.instahyre.com/job-238420-customer-success-manager-at-lendingkart-bangalore/
74,239857,Institutional Sales,Sales and Business ,Intermediate Level,Sunil Naik,"Business Development, Corporate Sales, Direct Sales, Sales",My Lead FinTech,2020,3,Banking / Financial / Insurance,Mumbai,30,https://www.instahyre.com/job-239857-institutional-sales-at-my-lead-fintech-mumbai/
75,231542,Unit Manager - B2B Sales [Mutual Fund & Insurance,Sales and Business ,Junior Level,Vikram Champaneria,"Business Development, Sales",NJ Technologies,1994,29,Banking / Financial / Insurance,"Indore, Solapur",1000,https://www.instahyre.com/job-231542-unit-manager-b2b-sales-mutual-fund-insurance-at-nj-technologies-indore-solapur/
76,239213,Data Analyst,Software Engineering ,Intermediate Level,Asha Mathpal,"Python, SQL",WeRize,2019,4,Banking / Financial / Insurance,Bangalore,125,https://www.instahyre.com/job-239213-data-analyst-at-werize-bangalore/
77,238917,Data Scientist,Data Science and Analysis ,Intermediate Level,Krishanu B,"Python, SQL, Machine Learning, R",WeRize,2019,4,Banking / Financial / Insurance,Bangalore,125,https://www.instahyre.com/job-238917-data-scientist-at-werize-bangalore/
78,224569,Business Growth Executive,Sales and Business ,Junior Level,Raj Kumar,"Business Development, Sales, Telecalling",Bonds India,2020,3,Banking / Financial / Insurance,Gurgaon,125,https://www.instahyre.com/job-224569-business-growth-executive-at-bonds-india-gurgaon/
79,227209,Senior Product Manager,Technical Management ,Intermediate Level,Mehak Sharma,Product Management,CarDekho,2008,15,Banking / Financial / Insurance,Gurgaon,1000,https://www.instahyre.com/job-227209-senior-product-manager-at-cardekho-5-gurgaon/
80,220412,Business Analyst - BFSI / CRM,Data Science and Analysis ,Intermediate Level,Garima Singh,Business Analysis,CRMNEXT,2001,22,Banking / Financial / Insurance,"Mumbai, Noida",1000,https://www.instahyre.com/job-220412-business-analyst-bfsi-crm-at-crmnext-mumbai-noida/
81,226317,Sr. Associate - Internal Operations,Operations ,Junior Level,Mansi Sharma,"Accounting, Finance, MIS, Payroll Management, QuickBooks",Escalon Business Services,2006,17,Banking / Financial / Insurance,Mohali,1000,https://www.instahyre.com/job-226317-sr-associate-internal-operations-at-escalon-business-services-mohali/
82,223830,Technical Architect,Software Engineering ,Mid Senior Level,Ankita Sharma,"Node.js, Distributed Systems, JavaScript, TypeScript",Fello,2020,3,Banking / Financial / Insurance,Bangalore,5,https://www.instahyre.com/job-223830-technical-architect-at-fello-bangalore/
83,214384,Sales Manager,Sales and Business ,Junior Level,Durga Priya,"Customer Relationship, Sales, Telecalling",Homes247.in,2017,6,Banking / Financial / Insurance,Bangalore,30,https://www.instahyre.com/job-214384-sales-manager-at-homes247-bangalore/
84,223010,Director - Data Science,Software Engineering ,Senior,Ankita Sharma,"Python, SQL, NLP, Scala",Refyne,2020,3,Banking / Financial / Insurance,Bangalore,30,https://www.instahyre.com/job-223010-director-data-science-at-refyne-bangalore/
85,222389,Senior Data Scientist,Software Engineering ,Mid Senior Level,Ankita Sharma,"Python, AWS, ETL, NLP, SQL",Refyne,2020,3,Banking / Financial / Insurance,Bangalore,30,https://www.instahyre.com/job-222389-senior-data-scientist-at-refyne-bangalore/
86,227483,Staff Engineer,Software Engineering ,Senior,Kaberi Baruah,"React.js, Architecture, HTML, JavaScript, Redux",Tekion,2016,7,Banking / Financial / Insurance,Noida,125,https://www.instahyre.com/job-227483-staff-engineer-at-tekion-noida/
87,218909,Product Manager,Technical Management ,Mid Senior Level,Ankita Sharma,"Product Management, Product Lifecycle Management",Upswing Financial Technologies,2021,2,Banking / Financial / Insurance,Bangalore,30,https://www.instahyre.com/job-218909-product-manager-at-upswing-financial-technologies-bangalore/
88,197170,Insurance Manager - Motor Insurance,Sales and Business ,Mid Senior Level,Arron Insurance Brokers Pvt Ltd,"Customer Interaction, Customer Relationship, Customer Service",Arron Insurance Brokers,2016,7,Banking / Financial / Insurance,Ahmedabad,125,https://www.instahyre.com/job-197170-insurance-manager-motor-insurance-at-arron-insurance-brokers-ahmedabad/
89,145662,Engineering Manager,Technical Management ,Senior,Divya Kasula,"Golang, Java, JavaScript, Python",FalconX,2018,5,Banking / Financial / Insurance,Bangalore,125,https://www.instahyre.com/job-145662-engineering-manager-at-falconx-bangalore/
90,201487,DevOps Engineer,IT Operations and Support ,Intermediate Level,Consult Bae,"AWS, Azure, DevOps, Docker, Kubernetes",Grip Invest,2020,3,Banking / Financial / Insurance,Work From Home,30,https://www.instahyre.com/job-201487-devops-engineer-at-grip-invest-work-from-home/
91,197275,Sales Executive,Sales and Business ,Junior Level,Sailesh Iyer,"Business Development, Corporate Sales, Direct Sales, Sales",Investacc Insurance Brokers,2013,10,Banking / Financial / Insurance,Mumbai,30,https://www.instahyre.com/job-197275-sales-executive-at-investacc-insurance-brokers-mumbai/
92,206513,Senior Software Engineer,Software Engineering ,Intermediate Level,Mir Mohammed Raza,".NET, C#, Django, Golang, Hibernate, J2EE, Java, Python",NIUM,2014,9,Banking / Financial / Insurance,Bangalore,1000,https://www.instahyre.com/job-206513-senior-software-engineer-at-nium-bangalore/
93,88514,Business Development Associate,Sales and Business ,Intermediate Level,Deepak Mendiratta,"Business Development, Corporate Sales, Sales",PlanCover,2013,10,Banking / Financial / Insurance,"Bangalore, Delhi, Work From Home",125,https://www.instahyre.com/job-88514-business-development-associate-at-plancover-bangalore-delhi-work-from-home/
94,211281,Senior Product Manager,Technical Management ,Senior,Deepthi Ravindran,"Consumer Software, Product Management",Sequoia Consulting Group,2001,22,Banking / Financial / Insurance,Bangalore,350,https://www.instahyre.com/job-211281-senior-product-manager-at-sequoia-consulting-group-bangalore/
95,149496,Territory Sales Manager,Sales and Business ,Intermediate Level,Meenal Sharma,"Business Development, Corporate Sales, Sales",Zenda,2021,2,Banking / Financial / Insurance,"Delhi, Mumbai, Pune",30,https://www.instahyre.com/job-149496-territory-sales-manager-at-zenda-delhi-mumbai-pune/
96,266552,Customer Support Manager,Sales and Business ,Intermediate Level,Shravika Nempe,"Customer Interaction, Customer Relationship, Customer Service",Bhash Software Labs,2009,14,BPO / Outsourcing,Bangalore,30,https://www.instahyre.com/job-266552-customer-support-manager-at-bhash-software-labs-bangalore/
97,261508,Customer Relationship Manager,Sales and Business ,Junior Level,Fleet Stack,"Customer Interaction, Customer Relationship, Customer Service",FleetStack,2022,1,BPO / Outsourcing,Work From Home,30,https://www.instahyre.com/job-261508-customer-relationship-manager-at-fleetstack-work-from-home/
98,264783,Telecaller,Sales and Business ,Junior Level,Rakshita Tibrewal,"Sales, Telecalling",India Business Ventures,2021,2,BPO / Outsourcing,Jaipur,125,https://www.instahyre.com/job-264783-telecaller-at-india-business-ventures-jaipur/
99,266044,Process Coordinator,Sales and Business ,Intermediate Level,Rashmi Sahu,"Customer Interaction, Customer Relationship, Customer Service",ITech Software Solution,2007,16,BPO / Outsourcing,Bhopal,125,https://www.instahyre.com/job-266044-process-coordinator-at-itech-software-solution-bhopal/
100,259038,Senior / Executive Business Development,Sales and Business ,Junior Level,Arun Kumar,"Business Development, Corporate Sales, International Sales, Sales",Nous Infosystems,1996,27,BPO / Outsourcing,Coimbatore,1000,https://www.instahyre.com/job-259038-senior-executive-business-development-at-nous-infosystems-coimbatore/
101,261719,Call Centre Operations Manager,Sales and Business ,Junior Level,Amritpal Singh,"BPO Operations, Call Center Operations, Customer Interaction, Customer Service",Sungevity Enterprise,2023,0,BPO / Outsourcing,Pune,30,https://www.instahyre.com/job-261719-call-centre-operations-manager-at-sungevity-enterprise-pune/
102,265001,Content Writer,Marketing ,Intermediate Level,Neha Goel,"Content Writing, English Content",SunTec,1999,24,BPO / Outsourcing,Delhi,1000,https://www.instahyre.com/job-265001-content-writer-at-suntec-delhi/
